brand,title,price,source,market,keyword,scraped_date
Yemberzal,"Aari Embroidery Pashmini shawl with Oversized for 200""x70"" High in quality with light weight 310GM",49.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Yemberzal,"Summer Kashmiri Kanaai Pashmina Shawl for Women – Elegant Embroidered Design, Soft Lightweight Wrap/Stole/Shawl...",44.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Achillea,womens Bp-025 Pashmina Shawl,98.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Yemberzal,"Traditional Kashmiri Badaam Embroidery Style Shawl oversized with measuring 200""x70"" and light weight 300GMS.",44.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Pashmoda,"Women Rajwada Kashmiri Jamawar Woven Shawl, Kaani Jacquard Shawls, Stoles, Wraps, Luxury Pashmina Evening Wrap (Size: 40X80 Inches)",147.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
KASTWAVE,Soft Silky Reversible Paisley Pashmina Shawl Wrap Scarf w/Fringes,59.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Pashmoda,Women's Kashmiri Mughal Shawl - Jacquard Evening Wrap | Scarf Pashmina Gifts for Women,88.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Pashmoda,Women's Kashmiri Mughal Shawl - Jacquard Evening Wrap | Scarf Pashmina Gifts for Women,128.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Pashtush,"Women's Kashmiri Embroidery Shawl, Jacquard Palla, Warm Ande Soft, Wool Design With Aari Needlework",117.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Weavers Villa,"Women's Faux Pashmina Silk Paisley Design Shawls, Stoles",80.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Weavers Villa,"Amazon's Choicefor ""kashmiri pashmina shawl""",80.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Weavers Villa,womens Kani Shawl Pashmina Shawl,80.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
KASTWAVE,"Pashmina Scarf for Women, Silky Shawl Wrap for Evening Dress, Soft Blanket Poncho Cape",56.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Rheane,Sparkling Metallic Shawls and Wraps with Buckle for Evening Party Dresses Wedding Party,86.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
Pashmoda,"Men Jamawar Shawl, Authentic Kashmiri Luxury Pashmina Style Shawl, Stole, Medium Size for Gents, (Size 101X203 CM)",142.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
KASTWAVE,Women Pashmina Shawl Wrap Scarf Reversible Holiday Gifts Scarf Winter Pashmina Shawls & Wraps for Extra Soft Cashmere Feel Throw,49.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
NALACAL,"Women's Winter Shawl, Traditional Retro Printing Shawl, Tassel Scarf Floral Pashmina Shawl, Warm Scarf Wraps for Lady, Black",42.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
SAAZ KASHMIR,"Lightweight Thick Soft Pashmina Scarfs, Cashmere Shawls and Wraps for Women",69.0,Amazon.ae,UAE,kashmiri pashmina shawl,2026-06-06
